Title,Price,Room_type,num_of_beds,Cancel_policy,Reviewrs,Review_stars
Brooklyn Garden Apartment,"Price
$105 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,195,Rating 4.5 out of 5
Charming One Bed Room Apartment,"Price
$113 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,154,Rating 4 out of 5
Large Manhattan Apartment - 1 Minute to Subway!,"Price
$118 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,219,Rating 5 out of 5
[1] Super Tidy Room by Cen.Park with 2BathRm,"Price
$68 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,161,Rating 4.5 out of 5
JAN/FEB SPECIAL $69 APT MINUTES TO NEW YORK CITY,"Price
$92 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,147,Rating 5 out of 5
Bright Big 2BR 15 Minutes Time Square Upto 8 Guest,"Price
$52 CAD per night",ENTIRE HOUSE , 3 BEDS, · Free cancellation,182,Rating 4.5 out of 5
"HEART OF BROOKLYN, QUEEN BED, 1 BLOCK FROM SUBWAY!","Price
$53 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,165,Rating 4.5 out of 5
★HUGE beautiful E. Villager 2nd Av★,"Price
$159 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,286,Rating 4.5 out of 5
Midtown cozy convenient,"Price
$73 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,98,Rating 5 out of 5
"Room with a View, Next to Times Square!","Price
$109 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,19,Rating 4.5 out of 5
"CLEAN, PRIVATE ROOM CLOSE TO THE CITY AND JFK.","Price
$46 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,66,Rating 5 out of 5
Cozy private studio,"Price
$94 CAD per night",ENTIRE HOUSE , 1 BED, · Free cancellation,78,Rating 5 out of 5
Pretty room studio !,"Price
$45 CAD per night",PRIVATE ROOM , 3 BEDS, · Free cancellation,282,Rating 4.5 out of 5
Unique sunny loft in Manhattan!,"Price
$264 CAD per night",ENTIRE LOFT , 2 BEDS, · Free cancellation,209,Rating 4.5 out of 5
"Charming, Airy 2 Bedroom Brownstone in Bed-Stuy","Price
$166 CAD per night",ENTIRE TOWNHOUSE , 2 BEDS, · Free cancellation,228,Rating 5 out of 5
FOODIE HAVEN -ENJOY THE REAL NYC :),"Price
$115 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,227,Rating 4.5 out of 5
"Bright, Cozy room in Brooklyn","Price
$57 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,148,Rating 5 out of 5
ENTIRE FLOR :) PRIVATE entrance&full bathroom! :DD,"Price
$72 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,159,Rating 5 out of 5
Garden Flat Next to Central Park w/ Large Terrace,"Price
$86 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,107,Rating 5 out of 5
One Bedroom Mini studio - Free WIFI,"Price
$126 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,183,Rating 4.5 out of 5
Brooklyn Creative Snooze Factory,"Price
$66 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,371,Rating 4.5 out of 5
New York City - World of Antiques,"Price
$89 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,195,Rating 4.5 out of 5
Very Large Private Room on quiet st,"Price
$40 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,259,Rating 4.5 out of 5
Loft in Williamsburg Area w/ Roof,"Price
$53 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,189,Rating 4 out of 5
"Central Location, 1 Block from Subway, Great Price","Price
$57 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,137,Rating 4.5 out of 5
Best Location in NYC! TIMES SQUARE!,"Price
$92 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,274,Rating 4.5 out of 5
Private+Cozy Room w/ Super Host ($0 Cleaning Fee),"Price
$78 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,333,Rating 5 out of 5
Studio Apartment close to Midtown Manhattan,"Price
$100 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,223,Rating 4.5 out of 5
Luxe 1-Bedroom Loft Near Manhattan,"Price
$113 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,184,Rating 5 out of 5
"Large, Bright NYC Room Near Trains","Price
$50 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,209,Rating 4.5 out of 5
It's all about Bushwick BROOKLYN,"Price
$106 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,284,Rating 5 out of 5
Art Large bedroom Brownstone for 1 or 2 persons,"Price
$40 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,165,Rating 5 out of 5
Beautiful new one bedroom apartment,"Price
$121 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,202,Rating 4.5 out of 5
Studio in the Best location in Manhattan,"Price
$66 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,103,Rating 4.5 out of 5
Seaport Designer Full Flr Home,"Price
$172 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,264,Rating 5 out of 5
Your NYC Home!,"Price
$64 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,223,Rating 4.5 out of 5
XL Room In Lovely Apt Next to Subway,"Price
$115 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,186,Rating 5 out of 5
Amazing East Village Xtra Large Studio Apartment!,"Price
$146 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,83,Rating 4.5 out of 5
Private bedroom in great LES spot,"Price
$54 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,190,Rating 4.5 out of 5
Beautiful little bedroom + private living room,"Price
$66 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,145,Rating 5 out of 5
Beautiful & Clean Studio APT in Korea Town,"Price
$100 CAD per night",ENTIRE APARTMENT , 0 BEDS, · Free cancellation,272,Rating 4.5 out of 5
"Clean Quiet 2 Bedroom Apartment, Private","Price
$100 CAD per night",ENTIRE HOUSE , 2 BEDS, · Free cancellation,189,Rating 5 out of 5
Gorgeous Suite Steps to NYC PATH,"Price
$52 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,166,Rating 4.5 out of 5
Bedroom with Garden at the Back,"Price
$72 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,323,Rating 4.5 out of 5
Charming Suite in Historic Home,"Price
$74 CAD per night",ENTIRE GUEST SUITE , 1 BED, · Free cancellation,139,Rating 5 out of 5
Modern 1 bedroom 5min Cental Park,"Price
$113 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,150,Rating 4.5 out of 5
5th ave/Broadway near Empire State,"Price
$158 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,162,Rating 4.5 out of 5
Room 1/2 block from Central Park!,"Price
$77 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,144,Rating 5 out of 5
Mid-Century Modern Garden Paradise,"Price
$133 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,212,Rating 5 out of 5
True Two Bedroom Apartment in Lower Manhattan,"Price
$212 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,205,Rating 4.5 out of 5
SleepEasyNY: PRIVATE SUITE | MANHATTAN IN 5 STOPS,"Price
$93 CAD per night",ENTIRE GUEST SUITE , 1 BED, · Free cancellation,86,Rating 5 out of 5
Sunny and Sweet 2 bedroom in LES,"Price
$100 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,136,Rating 4.5 out of 5
Times Square Best Location Studio (Entire apt),"Price
$184 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,139,Rating 5 out of 5
Perfect location to explore NYC,"Price
$170 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,216,Rating 4.5 out of 5
FLAT MACDONOUGH,"Price
$131 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,207,Rating 4.5 out of 5
"Private Room & Coffee, only 3 blocks to Train","Price
$66 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,302,Rating 4.5 out of 5
Modern Space,"Price
$179 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,193,Rating 4 out of 5
Nice Private Studio Apartment,"Price
$90 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,104,Rating 4.5 out of 5
Cozy 1BR-Country living in NYC!,"Price
$66 CAD per night",ENTIRE HOUSE , 3 BEDS, · Free cancellation,219,Rating 5 out of 5
Stay in our wonderful loft!,"Price
$72 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,221,Rating 5 out of 5
"Bright, Large Room w/ kitchenette, 15mins to NYC","Price
$40 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,132,Rating 5 out of 5
❤of Willamsburg! Best Location!!! 1 block to train,"Price
$77 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,173,Rating 4.5 out of 5
Prime location near Central Park !!,"Price
$78 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,322,Rating 4.5 out of 5
"Brooklyn Life, Easy to Manhattan","Price
$119 CAD per night",ENTIRE TOWNHOUSE , 2 BEDS, · Free cancellation,243,Rating 5 out of 5
Location is Everything. And Quiet Too!,"Price
$111 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,356,Rating 5 out of 5
A Serene ambiance that will sooth your soul,"Price
$115 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,188,Rating 5 out of 5
ONE STOP TO TIME SQUARE BEAUTIFUL QUIET STUDIO,"Price
$126 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,110,Rating 5 out of 5
ROOM WITH KITCHENETTE #2,"Price
$106 CAD per night",ENTIRE HOUSE , 1 BED, · Free cancellation,219,Rating 4.5 out of 5
Modern & Trendy 2-Bedroom 1 Bath Lower Manhattan,"Price
$133 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,104,Rating 5 out of 5
Nice studio in Midtown Manhattan,"Price
$264 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,153,Rating 4.5 out of 5
The Institute—Heart of Williamsburg,"Price
$167 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,333,Rating 4.5 out of 5
Special OFFER on Airbnb NYC Room!,"Price
$65 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,320,Rating 4.5 out of 5
Comfy NYC Studio 15 Min. To Midtown,"Price
$100 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,175,Rating 4.5 out of 5
Brownstone Apt near Central Park,"Price
$206 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,176,Rating 5 out of 5
"2017 BUILDING, NEW LOFT, 5 MIN TO MANHATAN","Price
$66 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,66,Rating 5 out of 5
Home Away from Home (Entire 2 bd Apt),"Price
$129 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,219,Rating 5 out of 5
A private room in New York. One block from A,"Price
$78 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,100,Rating 4.5 out of 5
Brownstone Flat on Tree-Lined Block,"Price
$62 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,316,Rating 5 out of 5
gorgeous 2 bedroom loft!,"Price
$119 CAD per night",ENTIRE LOFT , 2 BEDS, · Free cancellation,75,Rating 4.5 out of 5
Heart of Williamsburg. Brand New.,"Price
$73 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,235,Rating 4.5 out of 5
"SANCTUARY, with all amenities BRAND NEW!","Price
$38 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,89,Rating 4.5 out of 5
"Modern, Clean 1 bedroom Apartment in Bushwick","Price
$101 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,145,Rating 5 out of 5
Bookcase Room with Hidden Door!,"Price
$46 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,61,Rating 5 out of 5
Cozy Bedroom near Columbus Circle R,"Price
$105 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,266,Rating 5 out of 5
Williamsburg Pizza House,"Price
$80 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,237,Rating 4.5 out of 5
Downtown Full Floor Loft,"Price
$264 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,295,Rating 5 out of 5
Private Master Bedroom w/Garden 14 min to Union Sq,"Price
$69 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,211,Rating 4.5 out of 5
Sunny Room 15min from Manhattan,"Price
$60 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,240,Rating 4.5 out of 5
Beautiful Room ♡ of the Upper West Side,"Price
$100 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,106,Rating 5 out of 5
Manhattan Upper East Side 1bedroom,"Price
$107 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,162,Rating 4.5 out of 5
Renovated Loft Studio in Townhouse,"Price
$100 CAD per night",ENTIRE LOFT , 1 BED, · Free cancellation,68,Rating 5 out of 5
13 Minutes ❤ of NYC Times Square!,"Price
$66 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,144,Rating 4.5 out of 5
Nice and Private APARTMENT just 4 U,"Price
$66 CAD per night",ENTIRE HOUSE , 1 BED, · Free cancellation,142,Rating 4.5 out of 5
Comfortable Modern Room in Bed-Stuy,"Price
$53 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,122,Rating 4.5 out of 5
"WONDERFUL, COMFORTABLE STUDIO","Price
$119 CAD per night",ENTIRE HOUSE , 1 BED, · Free cancellation,209,Rating 4.5 out of 5
Sunny bedroom with Park views in East Village!,"Price
$78 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,161,Rating 4.5 out of 5
Modern Room 20 Minutes to Times Square,"Price
$27 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,119,Rating 4 out of 5
Brooklyn Queen Bed,"Price
$126 CAD per night",HOTEL ROOM , 1 BED, · Free cancellation,163,Rating 4.5 out of 5
Cute UWS Studio Near Central Park Clean & Quiet,"Price
$146 CAD per night",ENTIRE APARTMENT , 0 BEDS, · Free cancellation,193,Rating 4.5 out of 5
"Vibrant, Modern, Fresh n' Cozy HighLine Studio!","Price
$171 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,129,Rating 5 out of 5
Fresh and modern 1BR in Bed-Stuy,"Price
$97 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,177,Rating 4.5 out of 5
Stylish 1 Bedroom w/terrace perfect location,"Price
$145 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,129,Rating 4.5 out of 5
Lovely City Retreat,"Price
$36 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,86,Rating 4.5 out of 5
116 Magnolia Avenue 1163A,"Price
$53 CAD per night",HOTEL ROOM , 1 BED, · Free cancellation,47,Rating 4.5 out of 5
Clean style apt. Central midtwn near Javits,"Price
$158 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,168,Rating 4.5 out of 5
White space with 0min to bus stop,"Price
$60 CAD per night",SHARED ROOM , 1 BED, · Free cancellation,181,Rating 5 out of 5
Bushwick Oasis,"Price
$113 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,153,Rating 5 out of 5
"Lovely pied-à-terre, in an historic building","Price
$113 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,287,Rating 5 out of 5
"Eco friendly, Historic Jersey City, 15 min to NYC","Price
$46 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,214,Rating 5 out of 5
