Title,Price,Room_type,num_of_beds,Cancel_policy,Reviewrs,Review_stars
GREAT AND STYLISH APARTMENT! AMAZING LOCATION!,"Price
$80 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,83,Rating 4.5 out of 5
PRIVATE and SUNNY Williamsburg Apt!,"Price
$118 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,360,Rating 4.5 out of 5
A Unique studio apartment,"Price
$119 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,180,Rating 5 out of 5
Sunny+Cozy Double bedroom in BKLYN!,"Price
$56 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,330,Rating 5 out of 5
Times Square Brand New Place,"Price
$146 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,227,Rating 4.5 out of 5
Bright GF 2BR 18 Minutes Time Square Upto 8 Guest,"Price
$38 CAD per night",ENTIRE HOUSE , 4 BEDS, · Free cancellation,110,Rating 4 out of 5
Chic Designer Home Guest Studio,"Price
$78 CAD per night",ENTIRE TOWNHOUSE , 1 BED, · Free cancellation,35,Rating 5 out of 5
Backpackers Dream @ The Funky Loft with Breakfast,"Price
$64 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,140,Rating 5 out of 5
Brooklyn Brownstone In Historic Bed Stuy - LEGAL,"Price
$135 CAD per night",ENTIRE TOWNHOUSE , 3 BEDS, · Free cancellation,133,Rating 4.5 out of 5
Stunning studio APT in the heart of NYC,"Price
$206 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,93,Rating 4.5 out of 5
"BIG ONE BEDROOM LOFT!, COZY&CONFI Live Manhattan!","Price
$119 CAD per night",ENTIRE LOFT , 2 BEDS, · Free cancellation,83,Rating 4.5 out of 5
Cozy and quiet with secret garden,"Price
$119 CAD per night",ENTIRE TOWNHOUSE , 1 BED, · Free cancellation,251,Rating 5 out of 5
PRIVATE BATH/TONS OF SUNLIGHT/SAFE,"Price
$65 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,168,Rating 4.5 out of 5
BEST LOCATION in MANHATTAN !!,"Price
$146 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,174,Rating 5 out of 5
Williamsburg Loft w Large Private Bedroom & Bath,"Price
$64 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,138,Rating 5 out of 5
Midtown great location private Apt,"Price
$93 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,188,Rating 4.5 out of 5
THE SMALL CHATEAU IN THE TREES,"Price
$126 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,173,Rating 5 out of 5
Quaint Room in Upper Manhattan,"Price
$53 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,88,Rating 5 out of 5
Studio in the Upper East Side,"Price
$102 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,33,Rating 4.5 out of 5
Best of SOHO Gorgeous 2 bedroom,"Price
$133 CAD per night",ENTIRE CONDOMINIUM , 2 BEDS, · Free cancellation,324,Rating 4.5 out of 5
"2 Beds Option + Private Bath, Sunshine Bushwick","Price
$66 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,197,Rating 5 out of 5
★Unique two bedroom on 2nd Avenue★,"Price
$106 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,268,Rating 4.5 out of 5
Duplex with Private Bathroom by Times Square,"Price
$105 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,282,Rating 5 out of 5
"SUNNY Guest Room, Queen Bed by Williamsburg Bridge","Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,160,Rating 5 out of 5
Beautiful private studio near central park,"Price
$105 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,133,Rating 4.5 out of 5
"Times Square, Safe, Clean and Cozy!","Price
$86 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,318,Rating 4.5 out of 5
Studio Apt. in East Williamsburg,"Price
$146 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,193,Rating 4.5 out of 5
Bright and Sunny Brooklyn Sanctuary,"Price
$53 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,89,Rating 4.5 out of 5
Brand new beautiful one bedroom apartment,"Price
$73 CAD per night",ENTIRE FLOOR , 1 BED, · Free cancellation,213,Rating 4.5 out of 5
"[1] Modern/Luxury Bedroom by C.Park and 1,B,C","Price
$69 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,207,Rating 4.5 out of 5
Bright and quiet room with private bathroom,"Price
$111 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,98,Rating 4.5 out of 5
Downtown Airy Designer Loft,"Price
$166 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,160,Rating 5 out of 5
Apartment 4 Blocks from Subway in Manhattan,"Price
$92 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,44,Rating 4.5 out of 5
(A) At the foot of the Statute,"Price
$78 CAD per night",ENTIRE HOUSE , 2 BEDS, · Free cancellation,189,Rating 4.5 out of 5
"Eco friendly, Historic Jersey City, 15 min to NYC","Price
$52 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,140,Rating 5 out of 5
Comfortable Manhattan Studio,"Price
$159 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,187,Rating 4.5 out of 5
Romantic Rooftop Studio with 360 Brooklyn views!,"Price
$178 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,160,Rating 5 out of 5
Modern Apt - Vibrant Neighborhood!,"Price
$159 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,252,Rating 5 out of 5
Beautiful Bed-Stuy Room,"Price
$38 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,121,Rating 4.5 out of 5
